nroatc,codigoatc,codigoatc_L,descatc,label
6331,V07AB94,V07AB94,V07AB94 - Agua para preparaciones inyectables,V07AB94 - Agua para preparaciones inyectables
6332,A10AE06,A10AE06,A10AE06 - Insulina degludec,A10AE06 - Insulina degludec
6333,D01AC17,D01AC17,D01AC17 - Eberconazol,D01AC17 - Eberconazol
6334,R05CA12,R05CA12,R05CA12 - Hederae helicis folium,R05CA12 - Hederae helicis folium
6335,J05AP07,J05AP07,J05AP07 - Daclatasvir,J05AP07 - Daclatasvir
6336,L04AA31,L04AA31,L04AA31 - Teriflunomida,L04AA31 - Teriflunomida
6337,A10AE56,A10AE56,A10AE56 - Insulina degludec y liraglutida,A10AE56 - Insulina degludec y liraglutida
6338,L01XX46,L01XX46,L01XX46 - Olaparib,L01XX46 - Olaparib
6339,A16AB12,A16AB12,A16AB12 - Elosulfasa alfa,A16AB12 - Elosulfasa alfa
6340,M09AX03,M09AX03,M09AX03 - Atalureno,M09AX03 - Atalureno
6341,J05AP08,J05AP08,J05AP08 - Sofosbuvir,J05AP08 - Sofosbuvir
6342,V09XX00,V09XX00,"V09XX00 - Productos radiofarmaceuticos para diagnostico, varios","V09XX00 - Productos radiofarmaceuticos para diagnostico, varios"
6343,L01XE31,L01XE31,L01XE31 - Nintedanib,L01XE31 - Nintedanib
6344,V10XX03,V10XX03,V10XX03 - Radio 223 dicloruro (223Ra),V10XX03 - Radio 223 dicloruro (223Ra)
6345,C10BA05,C10BA05,C10BA05 - Atorvastatina y Ezetimiba,C10BA05 - Atorvastatina y Ezetimiba
6346,C10BA06,C10BA06,C10BA06 - Rosuvastatina y ezetimiba,C10BA06 - Rosuvastatina y ezetimiba
6347,C09BX01,C09BX01,"C09BX01 - Perindopril, amlodipino e indapamida","C09BX01 - Perindopril, amlodipino e indapamida"
6348,C08GA02,C08GA02,C08GA02 - Amlodipino y diureticos,C08GA02 - Amlodipino y diureticos
6349,G02CX03,G02CX03,G02CX03 - Vitex agnus castus fruto,G02CX03 - Vitex agnus castus fruto
6350,M02AA27,M02AA27,M02AA27 - Dexketoprofeno,M02AA27 - Dexketoprofeno
6351,G01AF19,G01AF19,G01AF19 - Sertaconazol,G01AF19 - Sertaconazol
6352,D10AF05,D10AF05,D10AF05 - Nadifloxacino,D10AF05 - Nadifloxacino
6353,C09BX,C09BX,"C09BX - Inhibidores de la ECA, otras combinaciones","C09BX - Inhibidores de la ECA, otras combinaciones"
6354,G02CX04,G02CX04,G02CX04 - Rizoma de Cimicifuga,G02CX04 - Rizoma de Cimicifuga
6355,G04BE10,G04BE10,G04BE10 - Avanafilo,G04BE10 - Avanafilo
6356,L02BB04,L02BB04,L02BB04 - Enzalutamida,L02BB04 - Enzalutamida
6357,A10BK03,A10BK03,A10BK03 - Empagliflozina,A10BK03 - Empagliflozina
6358,L01XE28,L01XE28,L01XE28 - Ceritinib,L01XE28 - Ceritinib
6359,A10BK02,A10BK02,A10BK02 - Canagliflozina,A10BK02 - Canagliflozina
6360,A10BD16,A10BD16,A10BD16 - Metformina y canagliflozina,A10BD16 - Metformina y canagliflozina
6361,C02KX05,C02KX05,C02KX05 - Riociguat,C02KX05 - Riociguat
6362,C02KX04,C02KX04,C02KX04 - Macitentan,C02KX04 - Macitentan
6363,D11AX22,D11AX22,D11AX22 - Ivermectina,D11AX22 - Ivermectina
6364,C09DX04,C09DX04,C09DX04 - Valsartan y sacubitrilo,C09DX04 - Valsartan y sacubitrilo
6365,L04AA33,L04AA33,L04AA33 - Vedolizumab,L04AA33 - Vedolizumab
6366,J05AR14,J05AR14,J05AR14 - Darunavir y cobicistat,J05AR14 - Darunavir y cobicistat
6367,A10BD20,A10BD20,A10BD20 - Metformina y Empagliflozina,A10BD20 - Metformina y Empagliflozina
6368,L01XC17,L01XC17,L01XC17 - Nivolumab,L01XC17 - Nivolumab
6369,R03AL06,R03AL06,R03AL06 - Olodaterol y bromuro de tiotropio,R03AL06 - Olodaterol y bromuro de tiotropio
6370,L01XC18,L01XC18,L01XC18 - Pembrolizumab,L01XC18 - Pembrolizumab
6371,S01XA19,S01XA19,"S01XA19 - Celulas madre limbares, autologas","S01XA19 - Celulas madre limbares, autologas"
6372,C10AX13,C10AX13,C10AX13 - Evolocumab,C10AX13 - Evolocumab
6373,L03AB13,L03AB13,L03AB13 - Peginterferon beta-1a,L03AB13 - Peginterferon beta-1a
6374,V03AX03,V03AX03,V03AX03 - Cobicistat,V03AX03 - Cobicistat
6375,J05AR15,J05AR15,J05AR15 - Atazanavir y cobicistat,J05AR15 - Atazanavir y cobicistat
6376,G03XC05,G03XC05,G03XC05 - Ospemifeno,G03XC05 - Ospemifeno
6377,J04AK05,J04AK05,J04AK05 - Bedaquilina,J04AK05 - Bedaquilina
6378,J07BM03,J07BM03,"J07BM03 - Papilomavirus (tipos humanos 6, 11, 16, 18, 31, 33, 45, 52, 58)","J07BM03 - Papilomavirus (tipos humanos 6, 11, 16, 18, 31, 33, 45, 52, 58)"
6379,R03AL05,R03AL05,R03AL05 - Formoterol y Bromuro de aclidinio,R03AL05 - Formoterol y Bromuro de aclidinio
6380,L01XX45,L01XX45,L01XX45 - Carfilzomib,L01XX45 - Carfilzomib
6382,L01XE25,L01XE25,L01XE25 - Trametinib,L01XE25 - Trametinib
6383,J01DI54,J01DI54,J01DI54 - Ceftolozano e inhibidores de la betalactamasa,J01DI54 - Ceftolozano e inhibidores de la betalactamasa
6384,A04AA55,A04AA55,"A04AA55 - Palonosetron, combinaciones","A04AA55 - Palonosetron, combinaciones"
6385,L01XC19,L01XC19,L01XC19 - Blinatumomab,L01XC19 - Blinatumomab
6386,G04BD13,G04BD13,G04BD13 - Desfesoterodina,G04BD13 - Desfesoterodina
6387,L01XE38,L01XE38,L01XE38 - Cobimetinib,L01XE38 - Cobimetinib
6388,A10BJ05,A10BJ05,A10BJ05 - Dulaglutida,A10BJ05 - Dulaglutida
6389,L04AA32,L04AA32,L04AA32 - Apremilast,L04AA32 - Apremilast
6390,L01XX51,L01XX51,L01XX51 - Talimogen laherparepvec,L01XX51 - Talimogen laherparepvec
6391,C10AX12,C10AX12,C10AX12 - Lomitapida,C10AX12 - Lomitapida
6392,J05AP09,J05AP09,J05AP09 - Dasabuvir,J05AP09 - Dasabuvir
6393,J05AR18,J05AR18,"J05AR18 - Emtricitabina, tenofovir alafenamida, elvitegravir y cobicistat","J05AR18 - Emtricitabina, tenofovir alafenamida, elvitegravir y cobicistat"
6394,A16AB13,A16AB13,A16AB13 - Asfotasa alfa,A16AB13 - Asfotasa alfa
6395,A16AB14,A16AB14,A16AB14 - Sebelipasa alfa,A16AB14 - Sebelipasa alfa
6396,G03CC07,G03CC07,G03CC07 - Estrogenos conjugados y bazedoxifeno,G03CC07 - Estrogenos conjugados y bazedoxifeno
6397,J01XX11,J01XX11,J01XX11 - Tedizolid,J01XX11 - Tedizolid
6398,J05AP51,J05AP51,J05AP51 - Sofosbuvir y ledipasvir,J05AP51 - Sofosbuvir y ledipasvir
6399,J05AP53,J05AP53,"J05AP53 - Ombitasvir, paritaprevir y ritonavir","J05AP53 - Ombitasvir, paritaprevir y ritonavir"
6400,L01XC21,L01XC21,L01XC21 - Ramucirumab,L01XC21 - Ramucirumab
6401,V03AB37,V03AB37,V03AB37 - Idarucizumab,V03AB37 - Idarucizumab
6402,L01XC22,L01XC22,L01XC22 - Necitumumab,L01XC22 - Necitumumab
6403,N03AX23,N03AX23,N03AX23 - Brivaracetam,N03AX23 - Brivaracetam
6404,J02AC05,J02AC05,J02AC05 - Isavuconazol,J02AC05 - Isavuconazol
6405,A16AX10,A16AX10,A16AX10 - Eliglustat,A16AX10 - Eliglustat
6406,L01XE35,L01XE35,L01XE35 - Osimertinib,L01XE35 - Osimertinib
6407,ZZZZZZ,ZZZZZZ,ZZZZZZ - No Asignado,ZZZZZZ - No Asignado
6408,R03DX09,R03DX09,R03DX09 - Mepolizumab,R03DX09 - Mepolizumab
6409,J05AR12,J05AR12,J05AR12 - Lamivudina y tenofovir disoproxilo,J05AR12 - Lamivudina y tenofovir disoproxilo
6410,M04AB05,M04AB05,M04AB05 - Lesinurad,M04AB05 - Lesinurad
6411,J05AR17,J05AR17,J05AR17 - Emtricitabina y tenofovir alafenamida,J05AR17 - Emtricitabina y tenofovir alafenamida
6412,V03AE05,V03AE05,V03AE05 - Oxihidroxido sucroferrico,V03AE05 - Oxihidroxido sucroferrico
6413,L01BC59,L01BC59,"L01BC59 - Trifluridina, combinaciones con","L01BC59 - Trifluridina, combinaciones con"
6414,N02AJ14,N02AJ14,N02AJ14 - Tramadol y dexketoprofeno,N02AJ14 - Tramadol y dexketoprofeno
6415,N02AJ,N02AJ,N02AJ - Opioides combinados con otros analgesicos,N02AJ - Opioides combinados con otros analgesicos
6416,C10BX09,C10BX09,C10BX09 - Rosuvastatina y amlodipino,C10BX09 - Rosuvastatina y amlodipino
6417,L01XC24,L01XC24,L01XC24 - Daratumumab,L01XC24 - Daratumumab
6418,L04AC13,L04AC13,L04AC13 - Ixekizumab,L04AC13 - Ixekizumab
6419,B01AC27,B01AC27,B01AC27 - Selexipag,B01AC27 - Selexipag
6420,N07XX11,N07XX11,N07XX11 - Pitolisant,N07XX11 - Pitolisant
6421,J01DD52,J01DD52,J01DD52 - Ceftazidima e inhibidores de la betalactamasa,J01DD52 - Ceftazidima e inhibidores de la betalactamasa
6422,R07AX30,R07AX30,R07AX30 - Ivacaftor y Lumacaftor,R07AX30 - Ivacaftor y Lumacaftor
6423,B01AF03,B01AF03,B01AF03 - Edoxabán,B01AF03 - Edoxabán
6424,J05AR19,J05AR19,"J05AR19 - Emtricitabina, tenofovir alafenamida y rilpivirina","J05AR19 - Emtricitabina, tenofovir alafenamida y rilpivirina"
6425,B02BD14,B02BD14,B02BD14 - Susoctocog alfa,B02BD14 - Susoctocog alfa
6426,L01XE24,L01XE24,L01XE24 - Ponatinib,L01XE24 - Ponatinib
6427,A10BD21,A10BD21,A10BD21 - Saxagliptina y Dapagliflozina,A10BD21 - Saxagliptina y Dapagliflozina
6428,J05AP54,J05AP54,J05AP54 - Elbasvir y Grazoprevir,J05AP54 - Elbasvir y Grazoprevir
6429,A06AH03,A06AH03,A06AH03 - Naloxegol,A06AH03 - Naloxegol
6430,A08AA62,A08AA62,A08AA62 - Bupropion y naltrexona,A08AA62 - Bupropion y naltrexona
6431,R03DX08,R03DX08,R03DX08 - Reslizumab,R03DX08 - Reslizumab
6432,A16AX14,A16AX14,A16AX14 - Migalastat,A16AX14 - Migalastat
6433,J05AP55,J05AP55,J05AP55- Sofosbuvir y Velpatasvir,J05AP55- Sofosbuvir y Velpatasvir
6434,L01XE29,L01XE29,L01XE29 - Lenvatinib,L01XE29 - Lenvatinib
6435,C09DB07,C09DB07,C09DB07 - Candesartan y amlodipino,C09DB07 - Candesartan y amlodipino
6436,L01XC27,L01XC27,L01XC27 - Olaratumab,L01XC27 - Olaratumab
6437,H05BX04,H05BX04,H05BX04 - Etelcalcetida,H05BX04 - Etelcalcetida
6438,L01XE33,L01XE33,L01XE33 - palbociclib,L01XE33 - palbociclib
6439,A10BJ,A10BJ,A10BJ - Analogos al peptido similar al glucagon (GLP-1),A10BJ - Analogos al peptido similar al glucagon (GLP-1)
6440,N02AJ13,N02AJ13,N02AJ13 - Tramadol y paracetamol,N02AJ13 - Tramadol y paracetamol
6441,N02AJ08,N02AJ08,N02AJ08 - Codeina e ibuprofeno,N02AJ08 - Codeina e ibuprofeno
6442,N02AJ06,N02AJ06,N02AJ06 - Codeina y paracetamol,N02AJ06 - Codeina y paracetamol
6443,N02AJ09,N02AJ09,N02AJ09 - Codeina y otros analgesicos no opioides,N02AJ09 - Codeina y otros analgesicos no opioides
6444,N02AJ07,N02AJ07,N02AJ07 - Codeina y acido acetilsalicilico,N02AJ07 - Codeina y acido acetilsalicilico
6445,A05AA04,A05AA04,A05AA04 - Acido obeticolico,A05AA04 - Acido obeticolico
6446,L01XX52,L01XX52,L01XX52 - Venetoclax,L01XX52 - Venetoclax
6447,L01XX50,L01XX50,L01XX50 - Ixazomib,L01XX50 - Ixazomib
6448,D02BB02,D02BB02,D02BB02 - Afamelanotida,D02BB02 - Afamelanotida
6449,A10BK,A10BK,A10BK - Inhibidores del cotransportador sodio-glucosa tipo 2 (SGLT2),A10BK - Inhibidores del cotransportador sodio-glucosa tipo 2 (SGLT2)
6450,D11AX24,D11AX24,D11AX24 - Ácido desoxicólico,D11AX24 - Ácido desoxicólico
6451,C07FX,C07FX,"C07FX - Agentes beta-bloqueantes, otras combinaciones","C07FX - Agentes beta-bloqueantes, otras combinaciones"
6452,V09IX09,V09IX09,V09IX09 - galio (68Ga) edoteotrida,V09IX09 - galio (68Ga) edoteotrida
6453,A10AE54,A10AE54,A10AE54 - Insulina glargina y lixisenatida,A10AE54 - Insulina glargina y lixisenatida
6454,J05AF13,J05AF13,J05AF13 - Tenofovir alafenamida,J05AF13 - Tenofovir alafenamida
6455,C03XW91,C03XW91,C03XW91 - Urea,C03XW91 - Urea
6456,C03XW,C03XW,C03XW - Otros,C03XW - Otros
6457,A07DA06,A07DA06,A07DA06 - Eluxadolina,A07DA06 - Eluxadolina
6458,C07FX06,C07FX06,C07FX06 - Carvedilol e Ivabradina,C07FX06 - Carvedilol e Ivabradina
6459,C10AX14,C10AX14,C10AX14 - Alirocumab,C10AX14 - Alirocumab
6460,J06BB21,J06BB21,J06BB21 - Bezlotoxumab,J06BB21 - Bezlotoxumab
6461,L01XC23,L01XC23,L01XC23 - Elotuzumab,L01XC23 - Elotuzumab
6462,N04BD03,N04BD03,N04BD03 - Safinamida,N04BD03 - Safinamida
6463,R03AK13,R03AK13,R03AK13 - Salbutamol y beclometasona,R03AK13 - Salbutamol y beclometasona
6464,L04AA37,L04AA37,L04AA37 - Baricitinib,L04AA37 - Baricitinib
6465,L01XE36,L01XE36,L01XE36 - Alectinib,L01XE36 - Alectinib
6466,G03GA10,G03GA10,G03GA10 - Folitropina delta,G03GA10 - Folitropina delta
6467,N04BX04,N04BX04,N04BX04 - Opicapona,N04BX04 - Opicapona
6468,D03AX12,D03AX12,D03AX12 - Trolamina,D03AX12 - Trolamina
6469,L04AA29,L04AA29,L04AA29 - Tofacitinib,L04AA29 - Tofacitinib
6470,B03AB10,B03AB10,B03AB10 - Maltol férrico,B03AB10 - Maltol férrico
6471,A16AX09,A16AX09,"A16AX09 - Glicerol, fenilbutirato de","A16AX09 - Glicerol, fenilbutirato de"
6472,A10BD19,A10BD19,A10BD19 - Linagliptina y Empagliflozina,A10BD19 - Linagliptina y Empagliflozina
6473,L04AC14,L04AC14,L04AC14 - Sarilumab,L04AC14 - Sarilumab
6474,M09AX07,M09AX07,M09AX07 - Nusinersén,M09AX07 - Nusinersén
6475,V09IA09,V09IA09,V09IA09 - Tecnecio (99m Tc) tilmanocept,V09IA09 - Tecnecio (99m Tc) tilmanocept
6476,L01XC26,L01XC26,L01XC26 - Inotuzumab ozogamicina,L01XC26 - Inotuzumab ozogamicina
6477,A04AD14,A04AD14,A04AD14 - Rolapitant,A04AD14 - Rolapitant
6478,N05AE05,N05AE05,N05AE05 - Lurasidona,N05AE05 - Lurasidona
6479,L04AC12,L04AC12,L04AC12 - Brodalumab,L04AC12 - Brodalumab
6480,D05BX90,D05BX90,D05BX90 - Dimetil fumarato,D05BX90 - Dimetil fumarato
6481,S01XA25,S01XA25,S01XA25- Lifitegrast,S01XA25- Lifitegrast
6482,R03AL09,R03AL09,"R03AL09 - Formoterol, glicopirronio, bromuro de y beclometasona","R03AL09 - Formoterol, glicopirronio, bromuro de y beclometasona"
6483,J05AP56,J05AP56,"J05AP56 - Sofosbuvir, velpatasvir y voxilaprevir","J05AP56 - Sofosbuvir, velpatasvir y voxilaprevir"
6484,J05AP,J05AP,J05AP - Antivirales para el tratamiento de infecciones de VHC,J05AP - Antivirales para el tratamiento de infecciones de VHC
6485,D06AX14,D06AX14,D06AX14 - Ozenoxacino,D06AX14 - Ozenoxacino
6486,L01XE42,L01XE42,L01XE42 - Ribociclib,L01XE42 - Ribociclib
6487,S01XA24,S01XA24,S01XA24 - Cenegermina,S01XA24 - Cenegermina
6488,S01XA21,S01XA21,S01XA21 - Mercaptamina,S01XA21 - Mercaptamina
6489,J05AR22,J05AR22,"J05AR22 - Emtricitabina, tenofovir alafenamida, darunavir y cobicistat","J05AR22 - Emtricitabina, tenofovir alafenamida, darunavir y cobicistat"
6490,L01XE39,L01XE39,L01XE39 -  Midostaurina,L01XE39 -  Midostaurina
6491,V10XX04,V10XX04,V10XX04 - Lutecio (177Lu) oxodotreotida,V10XX04 - Lutecio (177Lu) oxodotreotida
6492,L04AC16,L04AC16,L04AC16 - Guselkumab,L04AC16 - Guselkumab
6493,N05AX15,N05AX15,N05AX15 - Cariprazina,N05AX15 - Cariprazina
6494,A16AX15,A16AX15,A16AX15 - Telotristat,A16AX15 - Telotristat
6495,R03AL08,R03AL08,"R03AL08 - Vilanterol, umeclidinio, bromuro de y fluticasona, furoato de","R03AL08 - Vilanterol, umeclidinio, bromuro de y fluticasona, furoato de"
6496,A02BX14,A02BX14,A02BX14 - Rebamipida,A02BX14 - Rebamipida
6497,A06AX07,A06AX07,A06AX07 - Plecanatide,A06AX07 - Plecanatide
6498,A10BD22,A10BD22,A10BD22 - Metformina y Evogliptina,A10BD22 - Metformina y Evogliptina
6499,A10BH07,A10BH07,A10BH07 - Evogliptina,A10BH07 - Evogliptina
6500,A10BJ06,A10BJ06,A10BJ06 - Semaglutida,A10BJ06 - Semaglutida
6501,A16AB15,A16AB15,A16AB15 - Velmanasa alfa,A16AB15 - Velmanasa alfa
6502,A16AB16,A16AB16,A16AB16 - Idursulfasa beta,A16AB16 - Idursulfasa beta
6503,A16AB17,A16AB17,A16AB17 - Cerliponasa alfa,A16AB17 - Cerliponasa alfa
6504,A16AB18,A16AB18,A16AB18 - Vestronidasa alfa,A16AB18 - Vestronidasa alfa
6505,B02BX06,B02BX06,B02BX06 - Emicizumab,B02BX06 - Emicizumab
6506,C09BX03,C09BX03,"C09BX03 - Ramipril, amlodipino e hidroclorotiazida","C09BX03 - Ramipril, amlodipino e hidroclorotiazida"
6507,C09DA10,C09DA10,C09DA10 - Fimasartan y diureticos,C09DA10 - Fimasartan y diureticos
6508,C10BX13,C10BX13,"C10BX13 - Rosuvastatina, perindopril e indapamida","C10BX13 - Rosuvastatina, perindopril e indapamida"
6509,C10BX14,C10BX14,"C10BX14 - Rosuvastatina, amlodipino y perindopril","C10BX14 - Rosuvastatina, amlodipino y perindopril"
6510,C10BX15,C10BX15,C10BX15 - Atorvastatina y perindopril,C10BX15 - Atorvastatina y perindopril
6511,D01AE24,D01AE24,D01AE24 - Tavaborol,D01AE24 - Tavaborol
6512,R03DX10,R03DX10,R03DX10 - BENRALIZUMAB,R03DX10 - BENRALIZUMAB
6513,R02AX03,R02AX03,R02AX03 - Bencidamina,R02AX03 - Bencidamina
6514,L01XX54,L01XX54,L01XX54 - Niraparib,L01XX54 - Niraparib
6515,L04AA36,L04AA36,L04AA36 - Ocrelizumab,L04AA36 - Ocrelizumab
6516,B01AC25,B01AC25,B01AC25 - CANGRELOR,B01AC25 - CANGRELOR
6517,J05AX18,J05AX18,J05AX18 - Letermovir,J05AX18 - Letermovir
6518,V03AE09,V03AE09,V03AE09 - Patiromero calcico,V03AE09 - Patiromero calcico
6519,J05AP57,J05AP57,J05AP57 - Glecaprevir y pibrentasvir,J05AP57 - Glecaprevir y pibrentasvir
6520,D11AH05,D11AH05,D11AH05 - Dupilumab,D11AH05 - Dupilumab
6521,R03DA12,R03DA12,R03DA12 - Mepiramina teofilinacetato,R03DA12 - Mepiramina teofilinacetato
6522,L03AX95,L03AX95,L03AX95 - Linfocitos T alogénicos modificados genéticamente para expresar el gen suicida TK,L03AX95 - Linfocitos T alogénicos modificados genéticamente para expresar el gen suicida TK
6523,J01DD63,J01DD63,J01DD63 - Ceftriaxona e inhibidores de la betalactamasa,J01DD63 - Ceftriaxona e inhibidores de la betalactamasa
6524,J01DD51,J01DD51,J01DD51 - Cefotaxima e inhibidores de la betalactamasa,J01DD51 - Cefotaxima e inhibidores de la betalactamasa
6525,N02AJ15,N02AJ15,N02AJ15 - Tramadol y otros analgésicos no opioides,N02AJ15 - Tramadol y otros analgésicos no opioides
6526,J05AR11,J05AR11,"J05AR11 - Lamivudina, tenofovir disoproxilo y efavirenz","J05AR11 - Lamivudina, tenofovir disoproxilo y efavirenz"
6527,L01XE44,L01XE44,L01XE44 - Lorlatinib,L01XE44 - Lorlatinib
6528,L01XC31,L01XC31,L01XC31 - Avelumab,L01XC31 - Avelumab
6529,L01XE43,L01XE43,L01XE43 - Brigatinib,L01XE43 - Brigatinib
6530,L01XC28,L01XC28,L01XC28 - Durvalumab,L01XC28 - Durvalumab
6531,R05CA13,R05CA13,R05CA13 - Cineol,R05CA13 - Cineol
6532,L01XC16,L01XC16,L01XC16 - Dinutuximab beta,L01XC16 - Dinutuximab beta
6533,G03AC10,G03AC10,G03AC10 - Drospirenona,G03AC10 - Drospirenona
6534,A16AA07,A16AA07,A16AA07 - Metreleptina,A16AA07 - Metreleptina
6535,M05BX05,M05BX05,M05BX05 - Burosumab,M05BX05 - Burosumab
6536,N07XX10,N07XX10,N07XX10 - Laquinimod,N07XX10 - Laquinimod
6537,L01XE22,L01XE22,L01XE22 - Masitinib,L01XE22 - Masitinib
6538,J04AK07,J04AK07,J04AK07 - Tioacetazona,J04AK07 - Tioacetazona
6539,C01DX21,C01DX21,C01DX21 - Serelaxina,C01DX21 - Serelaxina
6540,L01XE34,L01XE34,L01XE34 - Tivozanib,L01XE34 - Tivozanib
6541,C10BX10,C10BX10,C10BX10 - Rosuvastatina y valsartán,C10BX10 - Rosuvastatina y valsartán
6542,A10BK04,A10BK04,A10BK04 - Ertugliflozina,A10BK04 - Ertugliflozina
6543,L04AA40,L04AA40,L04AA40 - Cladribina,L04AA40 - Cladribina
6544,A10BD23,A10BD23,A10BD23 - Metformina y ertugliflozina,A10BD23 - Metformina y ertugliflozina
6545,J05AR21,J05AR21,J05AR21 - Dolutegravir y Rilpivirina,J05AR21 - Dolutegravir y Rilpivirina
6546,C10BX05,C10BX05,C10BX05 - Rosuvastatina y ácido acetilsalicílico,C10BX05 - Rosuvastatina y ácido acetilsalicílico
6547,J05AP52,J05AP52,"J05AP52 - Dasabuvir, ombitasvir, paritaprevir y ritonavir","J05AP52 - Dasabuvir, ombitasvir, paritaprevir y ritonavir"
6548,J05AR20,J05AR20,"J05AR20 - Emtricitabina, tenofovir alafenamida y bictegravir","J05AR20 - Emtricitabina, tenofovir alafenamida y bictegravir"
6549,N02CX07,N02CX07,N02CX07 - Erenumab,N02CX07 - Erenumab
6550,G03XX01,G03XX01,G03XX01 - Prasterona,G03XX01 - Prasterona
6551,G03XX,G03XX,G03XX - Otras hormonas sexuales y moduladores del sistema genital,G03XX - Otras hormonas sexuales y moduladores del sistema genital
6553,L01XX48,L01XX48,L01XX48 - SONIDEGIB,L01XX48 - SONIDEGIB
6554,L01XC32,L01XC32,L01XC32 - Atezolizumab,L01XC32 - Atezolizumab
6555,V03AE10,V03AE10,V03AE10 - Ciclosilicato de sodio y zirconio,V03AE10 - Ciclosilicato de sodio y zirconio
6556,L01XE46,L01XE46,L01XE46 - Encorafenib,L01XE46 - Encorafenib
6557,L01XE50,L01XE50,L01XE50 - Abemaciclib,L01XE50 - Abemaciclib
6558,L01XE41,L01XE41,L01XE41 - BINIMETINIB,L01XE41 - BINIMETINIB
6559,N07XX12,N07XX12,N07XX12 - PATISIRAN,N07XX12 - PATISIRAN
6561,R07AX31,R07AX31,R07AX31 - Ivacaftor y tezacaftor,R07AX31 - Ivacaftor y tezacaftor
6562,L04AC17,L04AC17,L04AC17 - Tildrakizumab,L04AC17 - Tildrakizumab
6563,L01XY01,L01XY01,L01XY01 - Citarabina y daunorubicina,L01XY01 - Citarabina y daunorubicina
6564,J05AG06,J05AG06,J05AG06 - Doravirina,J05AG06 - Doravirina
6565,V09IX12,V09IX12,V09IX12 - Fluciclovina (18F),V09IX12 - Fluciclovina (18F)
6566,L02BB05,L02BB05,L02BB05 - Apalutamida,L02BB05 - Apalutamida
6567,J05AR24,J05AR24,"J05AR24 - Lamivudina, tenofovir disoproxilo y doravirina","J05AR24 - Lamivudina, tenofovir disoproxilo y doravirina"
6568,N05AX16,N05AX16,N05AX16 - Brexpiprazol,N05AX16 - Brexpiprazol
6569,B06AC05,B06AC05,B06AC05 - Lanadelumab,B06AC05 - Lanadelumab
6571,L01XD07,L01XD07,L01XD07 - padeliporfina,L01XD07 - padeliporfina
6572,B01AX07,B01AX07,B01AX07 - Caplacizumab,B01AX07 - Caplacizumab
6573,L01XX55,L01XX55,L01XX55 - Rucaparib,L01XX55 - Rucaparib
6574,N02CD03,N02CD03,N02CD03 - Fremanezumab,N02CD03 - Fremanezumab
6575,N02CD,N02CD,N02CD - Antagonistas del ligando péptido relacionado con el gen de la calcitonina (CGRP),N02CD - Antagonistas del ligando péptido relacionado con el gen de la calcitonina (CGRP)
6576,L01XC25,L01XC25,L01XC25 - Mogamulizumab,L01XC25 - Mogamulizumab
6577,L01XE47,L01XE47,L01XE47 - Dacomitinib,L01XE47 - Dacomitinib
6578,L04AC18,L04AC18,L04AC18 - Risankizumab,L04AC18 - Risankizumab
6579,L01XX90,L01XX90,L01XX90 - Axicabtagén ciloleucel,L01XX90 - Axicabtagén ciloleucel
6580,A06AH05,A06AH05,A06AH05 - Naldemedina,A06AH05 - Naldemedina
6581,B02BX07,B02BX07,B02BX07 - Lusutrombopag,B02BX07 - Lusutrombopag
6582,L01XX60,L01XX60,L01XX60 - Talazoparib,L01XX60 - Talazoparib
6583,A07AA13,A07AA13,A07AA13 - Rifamicina,A07AA13 - Rifamicina
6584,J05AR25,J05AR25,J05AR25 - Lamivudina y dolutegravir,J05AR25 - Lamivudina y dolutegravir
6585,V04CX05,V04CX05,V04CX05 - 13C-urea,V04CX05 - 13C-urea
6586,L01XC90,L01XC90,L01XC90 - Cemiplimab,L01XC90 - Cemiplimab
6587,G01AF55,G01AF55,"G01AF55 - Econazol, combinaciones","G01AF55 - Econazol, combinaciones"
6588,L01XX91,L01XX91,L01XX91 - Tisagenlecleucel,L01XX91 - Tisagenlecleucel
6589,L04AX08,L04AX08,L04AX08 - Darvadstrocel,L04AX08 - Darvadstrocel
6590,N07BA04,N07BA04,N07BA04 - Citisiniclina,N07BA04 - Citisiniclina
6591,L04AA44,L04AA44,L04AA44 - Upadacitinib,L04AA44 - Upadacitinib
6592,N07XX15,N07XX15,N07XX15 - Inotersén,N07XX15 - Inotersén
6593,V03AF11,V03AF11,V03AF11 - Arginina y Lisina,V03AF11 - Arginina y Lisina
6594,L01XE53,L01XE53,L01XE53 - Larotrectinib,L01XE53 - Larotrectinib
6595,D11AH06,D11AH06,D11AH06 - Crisaborol,D11AH06 - Crisaborol
6596,N03AX24,N03AX24,N03AX24 - Cannabidiol,N03AX24 - Cannabidiol
6597,L01XE54,L01XE54,L01XE54 - Gilteritinib,L01XE54 - Gilteritinib
6598,S01EX05,S01EX05,S01EX05 - Netarsudil,S01EX05 - Netarsudil
6599,A16AB19,A16AB19,A16AB19 - Pegvaliasa,A16AB19 - Pegvaliasa
6600,L01XE45,L01XE45,L01XE45 - Neratinib,L01XE45 - Neratinib
6601,N05BX05,N05BX05,N05BX05 - Lavandulae aetheroleum,N05BX05 - Lavandulae aetheroleum
6602,V09IX13,V09IX13,V09IX13 - 11C-Metionina,V09IX13 - 11C-Metionina
6603,N02CD01,N02CD01,N02CD01 - Erenumab,N02CD01 - Erenumab
6604,N02CD02,N02CD02,N02CD02 - Galcanezumab,N02CD02 - Galcanezumab
